"","ind","All partners","All partners, lower bound","All partners, upper bound","Main partners","Main partners, lower bound","Main partners, upper bound","Casual partners","Casual partners, lower bound","Casual partners, upper bound","One-time partners","One-time partners, lower bound","One-time partners, upper bound","All partners, modeled pop","All partners, modeled pop, lower bound","All partners, modeled pop, upper bound","Main partners, modeled pop","Main partners, modeled pop, lower bound","Main partners, modeled pop, upper bound","Casual partners, modeled pop","Casual partners, modeled pop, lower bound","Casual partners, modeled pop, upper bound","One-time partners, modeled pop","One-time partners, modeled pop, lower bound","One-time partners, modeled pop, upper bound"
"21","Prop met online hookup site",0.522426767910533,0.472340480833284,0.572066087488703,0.400419609559808,0.332659874051784,0.472214953732937,0.507755625184093,0.44080946203934,0.5744247996165,0.621012688914211,0.544377177850578,0.692049953076668,0.508476461645753,0.453281424991701,0.563465621913355,0.412488984622573,0.336576390340517,0.492804893999612,0.471240542312832,0.399715878858042,0.543965953853349,0.648205498084823,0.55152860891657,0.734089724017151
"22","Prop met online soc network",0.0613815748450082,0.046226504078888,0.0810827562845715,0.137142339818276,0.0979518643009874,0.188732212337368,0.0581945219412972,0.0381099546349199,0.0878967444118279,0.0209585364099981,0.0102887765492938,0.0422211199169689,0.0707037490193691,0.0537696451528709,0.0924499741490069,0.143004225897489,0.0991047357464663,0.201989533306088,0.0704038226414728,0.0481761265803225,0.101790275321583,0.0170539471659703,0.00737877143819768,0.0389179906072115
"23","Prop met elsewhere",0.250184929656222,0.216925322794305,0.286677125003532,0.298462875495731,0.23789607938024,0.367023471275641,0.28371242675916,0.23742480774073,0.335059146606091,0.160835283148404,0.117235666096256,0.216669696783273,0.282385114826162,0.242050731114749,0.326545003316738,0.302383621229287,0.234256607134625,0.38047896772202,0.326294937081463,0.270473267965122,0.387517650208049,0.182300665510483,0.125299684975914,0.257595873038533
"24","Mean degree | casual degree 0",NA,NA,NA,0.383255250241429,0.332045831830749,0.434464668652108,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288599599187294,0.243330483091766,0.333868715282821,NA,NA,NA,NA,NA,NA
"25","Mean degree | casual degree 1",NA,NA,NA,0.142141752787712,0.0760999238150574,0.208183581760366,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0936762443845676,0.0382784679468942,0.149074020822241,NA,NA,NA,NA,NA,NA
"26","Mean degree | casual degree 2+",NA,NA,NA,0.0527530923181212,0,0.130422532234084,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0233232655722363,0,0.0693209151384684,NA,NA,NA,NA,NA,NA
"27","Mean degree | main degree 0",NA,NA,NA,NA,NA,NA,0.696041027908959,0.539392758878276,0.852689296939642,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.436157603392878,0.351342481384364,0.520972725401393,NA,NA,NA
"28","Mean degree | main degree 1 or 2",NA,NA,NA,NA,NA,NA,0.129317575795061,0.0659343626613929,0.192700788928728,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0864163761271708,0.0303603381722271,0.142472414082114,NA,NA,NA
"29","Mean 1-time | persistent degree 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545976667989525,0.382179778462297,0.709773557516752,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351211403481227,0.260341011019761,0.442081795942694
"30","Mean 1-time | persistent degree 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.393020939131902,0.270087204797223,0.515954673466581,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265996424940122,0.157674646921584,0.37431820295866
"31","Mean 1-time | persistent degree 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725850941696045,0.374733039515618,1.07696884387647,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749015814139754,0.20256607818301,1.2954655500965
"32","Mean 1-time | persistent degree 3+",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94747211906379,0.980072369828196,2.91487186829939,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.967707386478235,0.308137621830928,1.62727715112554
